year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
2016,Pennsylvania,PA,42,23,14,US President,"Trump, Donald J.",republican,FALSE,2970733,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Clinton, Hillary",democrat,FALSE,2926441,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Johnson, Gary",libertarian,FALSE,146715,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Stein, Jill",green,FALSE,49941,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Castle, Darrell L.",constitution party,FALSE,21572,6115402,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,"Clinton, Hillary",democrat,FALSE,252525,464144,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,"Trump, Donald J.",republican,FALSE,180543,464144,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,"Johnson, Gary",libertarian,FALSE,14746,464144,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,,,TRUE,9439,464144,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,"Stein, Jill",green,FALSE,6220,464144,20171015,NA
2016,Rhode Island,RI,44,15,5,US President,"De La Fuente, Roque """"Rocky""""",american delta party,FALSE,671,464144,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Trump, Donald J.",republican,FALSE,1155389,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Clinton, Hillary",democrat,FALSE,855373,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Johnson, Gary",libertarian,FALSE,49204,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"McMullin, Evan",independence,FALSE,21016,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Stein, Jill",green,FALSE,13034,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Castle, Darrell L.",constitution party,FALSE,5765,2103027,20171015,NA
2016,South Carolina,SC,45,57,48,US President,"Skewes, Peter",american,FALSE,3246,2103027,20171015,NA
2016,South Dakota,SD,46,45,37,US President,"Trump, Donald J.",republican,FALSE,227721,370093,20171015,NA
2016,South Dakota,SD,46,45,37,US President,"Clinton, Hillary",democrat,FALSE,117458,370093,20171015,NA
2016,South Dakota,SD,46,45,37,US President,"Johnson, Gary",libertarian,FALSE,20850,370093,20171015,NA
2016,South Dakota,SD,46,45,37,US President,"Castle, Darrell L.",constitution party,FALSE,4064,370093,20171015,NA
2016,Tennessee,TN,47,62,54,US President,"Trump, Donald J.",republican,FALSE,1522925,2508027,20171015,NA
2016,Tennessee,TN,47,62,54,US President,"Clinton, Hillary",democrat,FALSE,870695,2508027,20171015,NA
2016,Tennessee,TN,47,62,54,US President,,independent,FALSE,100618,2508027,20171015,NA
2016,Tennessee,TN,47,62,54,US President,,,TRUE,13789,2508027,20171015,NA
2016,Texas,TX,48,74,49,US President,"Trump, Donald J.",republican,FALSE,4685047,8969226,20171015,NA
2016,Texas,TX,48,74,49,US President,"Clinton, Hillary",democrat,FALSE,3877868,8969226,20171015,NA
2016,Texas,TX,48,74,49,US President,"Johnson, Gary",libertarian,FALSE,283492,8969226,20171015,NA
2016,Texas,TX,48,74,49,US President,"Stein, Jill",green,FALSE,71558,8969226,20171015,NA
2016,Texas,TX,48,74,49,US President,,,TRUE,51261,8969226,20171015,NA
2016,Utah,UT,49,87,67,US President,"Trump, Donald J.",republican,FALSE,515211,1131317,20171015,NA
2016,Utah,UT,49,87,67,US President,"Clinton, Hillary",democrat,FALSE,310674,1131317,20171015,NA
2016,Utah,UT,49,87,67,US President,"McMullin, Evan",no party affiliation,FALSE,255060,1131317,20171015,NA
2016,Utah,UT,49,87,67,US President,"Johnson, Gary",libertarian,FALSE,39608,1131317,20171015,NA
2016,Utah,UT,49,87,67,US President,"Castle, Darrell L.",constitution party,FALSE,8032,1131317,20171015,NA
2016,Utah,UT,49,87,67,US President,"Kopitke, Kyle Kenley",independent american,FALSE,2732,1131317,20171015,NA
2016,Vermont,VT,50,13,6,US President,"Clinton, Hillary",democrat,FALSE,178573,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,"Trump, Donald J.",republican,FALSE,95369,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,,,TRUE,22899,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,"Johnson, Gary",libertarian,FALSE,10078,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,"Stein, Jill",green,FALSE,6758,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,Blank Vote,,FALSE,4574,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,"De La Fuente, Roque """"Rocky""""",independent,FALSE,1063,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,Void Vote,,FALSE,826,320467,20171015,NA
2016,Vermont,VT,50,13,6,US President,"La Riva, Gloria Estella",liberty union party,FALSE,327,320467,20171015,NA
2016,Virginia,VA,51,54,40,US President,"Clinton, Hillary",democrat,FALSE,1981473,3982752,20171015,NA
2016,Virginia,VA,51,54,40,US President,"Trump, Donald J.",republican,FALSE,1769443,3982752,20171015,NA
2016,Virginia,VA,51,54,40,US President,"Johnson, Gary",libertarian,FALSE,118274,3982752,20171015,NA
2016,Virginia,VA,51,54,40,US President,"McMullin, Evan",independent,FALSE,54054,3982752,20171015,NA
2016,Virginia,VA,51,54,40,US President,,,TRUE,31870,3982752,20171015,NA
2016,Virginia,VA,51,54,40,US President,"Stein, Jill",green,FALSE,27638,3982752,20171015,NA
2016,Washington,WA,53,91,73,US President,"Clinton, Hillary",democrat,FALSE,1742718,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"Trump, Donald J.",republican,FALSE,1221747,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"Johnson, Gary",libertarian,FALSE,160879,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,,,TRUE,107805,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"Stein, Jill",green,FALSE,58417,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"Castle, Darrell L.",constitution party,FALSE,17623,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"Kennedy, Alyson",socialist workers,FALSE,4307,3317019,20171015,NA
2016,Washington,WA,53,91,73,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,3523,3317019,20171015,NA
2016,West Virginia,WV,54,55,56,US President,"Trump, Donald J.",republican,FALSE,489371,713051,20171015,NA
2016,West Virginia,WV,54,55,56,US President,"Clinton, Hillary",democrat,FALSE,188794,713051,20171015,NA
2016,West Virginia,WV,54,55,56,US President,"Johnson, Gary",libertarian,FALSE,23004,713051,20171015,NA
2016,West Virginia,WV,54,55,56,US President,"Stein, Jill",green,FALSE,8075,713051,20171015,NA
2016,West Virginia,WV,54,55,56,US President,"Castle, Darrell L.",constitution party,FALSE,3807,713051,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Trump, Donald J.",republican,FALSE,1405284,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Clinton, Hillary",democrat,FALSE,1382536,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Johnson, Gary",libertarian,FALSE,106674,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Stein, Jill",green,FALSE,31072,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,Scattering,,FALSE,22764,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,,,TRUE,12386,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Castle, Darrell L.",constitution party,FALSE,12162,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"Moorehead, Monica",workers world party,FALSE,1770,2976150,20171015,NA
2016,Wisconsin,WI,55,35,25,US President,"De La Fuente, Roque """"Rocky""""",american delta party,FALSE,1502,2976150,20171015,NA
2016,Wyoming,WY,56,83,68,US President,"Trump, Donald J.",republican,FALSE,174419,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,"Clinton, Hillary",democrat,FALSE,55973,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,"Johnson, Gary",libertarian,FALSE,13287,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,,,TRUE,6904,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,,independent,FALSE,3224,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,Blank Vote,,FALSE,2661,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,"Castle, Darrell L.",constitution party,FALSE,2042,258788,20171015,NA
2016,Wyoming,WY,56,83,68,US President,Over Vote,,FALSE,278,258788,20171015,NA
